20	5	873654221
20	5	379008056
20	5	1866992158
20	5	216771124
20	5	495070989
20	5	402959317
20	5	1369363414
20	5	2021925980
20	5	573109518
20	5	88325120
20	10	587595453
20	10	1401007982
20	10	873136276
20	10	268827376
20	10	1634173168
20	10	691823909
20	10	73807235
20	10	1273398721
20	10	2065119309
20	10	1672900551
20	20	479340445
20	20	268827376
20	20	1958948863
20	20	918272953
20	20	555010963
20	20	2010851491
20	20	1519833303
20	20	1748670931
20	20	1923497586
20	20	1829909967
50	5	1328042058
50	5	200382020
50	5	496319842
50	5	1203030903
50	5	1730708564
50	5	450926852
50	5	1303135678
50	5	1273398721
50	5	587288402
50	5	248421594
50	10	1958948863
50	10	575633267
50	10	655816003
50	10	1977864101
50	10	93805469
50	10	1803345551
50	10	49612559
50	10	1899802599
50	10	2013025619
50	10	578962478
50	20	1539989115
50	20	691823909
50	20	655816003
50	20	1315102446
50	20	1949668355
50	20	1923497586
50	20	1805594913
50	20	1861070898
50	20	715643788
50	20	464843328
100	5	896678084
100	5	1179439976
100	5	1122278347
100	5	416756875
100	5	267829958
100	5	1835213917
100	5	1328833962
100	5	1418570761
100	5	161033112
100	5	304212574
100	10	1539989115
100	10	655816003
100	10	960914243
100	10	1915696806
100	10	2013025619
100	10	1168140026
100	10	1923497586
100	10	167698528
100	10	1528387973
100	10	993794175
100	20	450926852
100	20	1462772409
100	20	1021685265
100	20	83696007
100	20	508154254
100	20	1861070898
100	20	26482542
100	20	444956424
100	20	2115448041
100	20	118254244
200	20	2013025619
200	20	475051709
200	20	914834335
200	20	810642687
200	20	1019331795
200	20	2056065863
200	20	1342855162
200	20	1325809384
200	20	1988803007
200	20	765656702
500	20	1368624604
500	20	450181436
500	20	1927888393
500	20	1759567256
500	20	606425239
500	20	19268348
500	20	1298201670
500	20	2041736264
500	20	379756761
500	20	28837162
